codigo,region,municipioEscolar,nombreEscuela,nivel,ausentismo_cronico,ciencias_meta,espanol_meta,ingles_meta,mate_meta,asistencia_estudiantes_pct,asistencia_maestros_pct,ciencias_notas,espanol_notas,estudios_sociales_notas,ingles_notas,mate_notas,matricula,Disabilities,econ_des,FosterCare,Female,Male,Migrants,Section504,econ_des_pct,disabilities_pct,zona,latitud,longitud
10272,Arecibo,Arecibo I,Eugenio María de Hostos,Primario,0.3604651162790697,0.30159,0.34392,0.34043,0.21693,0.9107756742361884,0.6589377805985538,0.906509433962264,0.8606048387096774,0.8560106382978723,0.8506168831168831,0.8649025974025976,238,88,212,0,114,124,0,0,0.8907563025210085,0.3697478991596639,RURAL,18.45702,-66.60817
10314,Arecibo,Arecibo II,Julio Seijo,Primario,0.3240223463687151,0.64865,0.73404,0.72043,0.77419,0.9169181812217048,0.5892639349469387,0.9111940298507464,0.8719270833333335,0.941896551724138,0.860820895522388,0.9026865671641792,175,62,143,0,84,91,0,0,0.8171428571428572,0.35428571428571426,URBANA,18.44455,-66.75505
10322,Arecibo,Arecibo I,S. U. Enrique de Jesús Borrás,Primario,0.2478260869565217,0.88636,0.58125,0.63125,0.5375,0.9294451612903226,0.717387799682438,0.9185517241379312,0.8943881856540085,0.892108108108108,0.8756551724137931,0.9182758620689656,214,86,203,0,118,96,0,0,0.9485981308411215,0.40186915887850466,RURAL,18.40842,-66.69891
10355,Arecibo,Arecibo II,John W. Harris,Primario,0.5354330708661418,0.68421,0.59524,0.592,0.48413,0.830012288268318,0.6905522491186619,0.827810650887574,0.8156756756756758,0.8869811320754718,0.839002849002849,0.827810650887574,231,100,220,0,101,130,0,1,0.9523809523809523,0.4329004329004329,URBANA,18.46304,-66.73129
10439,Arecibo,Arecibo II,Dr. Cayetano Coll y Toste,Primario,0.1648936170212765,0.94156,0.95181,0.86988,0.83855,0.9485867842483846,0.6166881907819763,0.9214618369987064,0.8874151857835219,0.8702558635394456,0.8922121604139714,0.8870504527813712,547,223,446,0,272,275,0,3,0.8153564899451554,0.4076782449725777,RURAL,18.42251,-66.64628
10512,Arecibo,Arecibo II,S. U. Manuel Ruiz Gandía,Primario,0.25,0.39785,0.34056,0.3,0.14861,0.9339813924387956,0.6113184341665383,0.8931445603576751,0.8978308823529412,0.860121359223301,0.9152827380952382,0.8924107142857144,481,181,417,0,236,245,0,0,0.8669438669438669,0.3762993762993763,RURAL,18.42089,-66.74932
10546,Arecibo,Arecibo I,S. U. Federico Degetau,Primario,0.2067736185383244,0.38947,0.36147,0.32532,0.15101,0.9405584624151686,0.5675078132095774,0.902108262108262,0.8914657980456027,0.8878857142857143,0.8775783475783475,0.8902279202279203,538,200,440,0,281,257,0,0,0.8178438661710037,0.37174721189591076,RURAL,18.44575,-66.665
10611,Arecibo,Arecibo II,Víctor Rojas I,Educación especial,0.6491228070175439,0.92308,0.93333,0.46667,0.0,0.8060479106241272,0.5890862635984754,,,,,,51,49,48,0,21,30,0,0,0.9411764705882353,0.9607843137254902,URBANA,18.45843,-66.7394
10637,Arecibo,Arecibo I,Angélica Gómez de Betancourt,Primario,0.3612565445026178,0.61905,0.39091,0.3578,0.33636,0.8987020228617453,0.6883265394762073,0.9002702702702703,0.8936082474226803,0.8834108527131783,0.8743243243243244,0.8975289575289576,183,59,151,0,87,96,0,2,0.825136612021858,0.3224043715846995,URBANA,18.47902,-66.69367
10702,Arecibo,Barceloneta,Fernando Suria Chávez,Secundario,0.2055016181229773,0.44118,0.31792,0.45882,0.04046,0.9452105981645526,0.6562917802869631,0.8623913043478261,0.8453887884267631,0.8756076759061834,0.8690433212996391,0.8724007220216606,620,188,509,0,345,275,0,0,0.8209677419354838,0.3032258064516129,URBANA,18.45177,-66.5383
